,total_long,total_short,net_short,total_oi,net_short_ratio,concentration_top5_short,concentration_top5_long,date,symbol,signal_level
1393,56372,63932,7560,120304,6.28,147.84,141.55,2021-01-04,IC2101,多头占优
1394,55094,62742,7648,117836,6.49,146.44,140.74,2021-01-05,IC2101,多头占优
1395,54837,61821,6984,116658,5.99,146.29,141.13,2021-01-06,IC2101,多头占优
1396,55508,62068,6560,117576,5.58,145.81,141.37,2021-01-07,IC2101,多头占优
1397,54973,61116,6143,116089,5.29,146.73,142.25,2021-01-08,IC2101,多头占优
1398,51374,55752,4378,107126,4.09,145.65,145.64,2021-01-11,IC2101,多头占优
1399,42169,45677,3508,87846,3.99,145.5,147.33,2021-01-12,IC2101,多头占优
1400,34936,36860,1924,71796,2.68,144.6,140.79,2021-01-13,IC2101,多头占优
1401,18817,18517,-300,37334,-0.8,143.52,145.02,2021-01-14,IC2101,空头力量偏弱
1402,49516,54712,5196,104228,4.99,146.02,143.98,2021-01-15,IC2102,多头占优
1403,47481,54295,6814,101776,6.7,146.43,143.78,2021-01-18,IC2102,多头占优
1404,45290,50938,5648,96228,5.87,146.22,141.93,2021-01-19,IC2102,多头占优
1405,47437,52868,5431,100305,5.41,145.8,141.91,2021-01-20,IC2102,多头占优
1406,47062,53217,6155,100279,6.14,147.49,143.63,2021-01-21,IC2102,多头占优
1407,48560,55274,6714,103834,6.47,146.08,141.26,2021-01-22,IC2102,多头占优
1408,49896,55392,5496,105288,5.22,146.06,140.91,2021-01-25,IC2102,多头占优
1409,47986,52847,4861,100833,4.82,146.84,143.69,2021-01-26,IC2102,多头占优
1410,48010,52093,4083,100103,4.08,147.9,144.39,2021-01-27,IC2102,多头占优
1411,51246,53966,2720,105212,2.59,148.5,144.46,2021-01-28,IC2102,多头占优
1412,55285,56616,1331,111901,1.19,148.08,145.26,2021-01-29,IC2102,多头占优
1413,49822,51527,1705,101349,1.68,149.37,146.31,2021-02-01,IC2102,多头占优
1414,46890,48135,1245,95025,1.31,148.65,145.28,2021-02-02,IC2102,多头占优
1415,44596,45614,1018,90210,1.13,147.15,142.63,2021-02-03,IC2102,多头占优
1416,51545,51646,101,103191,0.1,145.32,145.94,2021-02-04,IC2102,多头占优
1417,44751,44403,-348,89154,-0.39,144.01,143.11,2021-02-05,IC2102,空头力量偏弱
1418,43788,43756,-32,87544,-0.04,145.75,144.76,2021-02-08,IC2102,空头力量偏弱
1419,34872,34811,-61,69683,-0.09,147.14,144.13,2021-02-09,IC2102,空头力量偏弱
1420,24501,26977,2476,51478,4.81,146.3,141.56,2021-02-10,IC2102,多头占优
1421,14381,14967,586,29348,2.0,137.5,140.83,2021-02-18,IC2102,多头占优
1422,91590,105003,13413,196593,6.82,146.22,139.35,2021-02-19,IC2103,多头占优
1423,94387,105699,11312,200086,5.65,145.42,139.98,2021-02-22,IC2103,多头占优
1424,90386,102171,11785,192557,6.12,145.64,140.81,2021-02-23,IC2103,多头占优
1425,94801,105411,10610,200212,5.3,146.63,140.55,2021-02-24,IC2103,多头占优
1426,91821,101137,9316,192958,4.83,146.8,141.14,2021-02-25,IC2103,多头占优
1427,95802,102855,7053,198657,3.55,146.25,140.98,2021-02-26,IC2103,多头占优
1428,88992,97065,8073,186057,4.34,146.08,142.38,2021-03-01,IC2103,多头占优
1429,88438,96364,7926,184802,4.29,144.36,140.79,2021-03-02,IC2103,多头占优
1430,82517,90772,8255,173289,4.76,144.71,142.16,2021-03-03,IC2103,多头占优
1431,87131,93388,6257,180519,3.47,143.22,141.29,2021-03-04,IC2103,多头占优
1432,87109,92550,5441,179659,3.03,144.81,142.43,2021-03-05,IC2103,多头占优
1433,87779,91693,3914,179472,2.18,144.37,142.38,2021-03-08,IC2103,多头占优
1434,90164,94201,4037,184365,2.19,146.97,144.31,2021-03-09,IC2103,多头占优
1435,82395,86163,3768,168558,2.24,146.25,144.35,2021-03-10,IC2103,多头占优
1436,76283,78807,2524,155090,1.63,146.38,143.13,2021-03-11,IC2103,多头占优
1437,71112,72350,1238,143462,0.86,145.35,143.42,2021-03-12,IC2103,多头占优
1438,66774,68421,1647,135195,1.22,145.58,143.96,2021-03-15,IC2103,多头占优
1439,58580,59049,469,117629,0.4,145.45,143.16,2021-03-16,IC2103,多头占优
1440,47028,46045,-983,93073,-1.06,145.44,144.7,2021-03-17,IC2103,空头力量偏弱
1441,22909,22319,-590,45228,-1.3,142.97,145.48,2021-03-18,IC2103,空头力量偏弱
1442,70749,70806,57,141555,0.04,146.0,145.43,2021-03-19,IC2104,多头占优
1443,67534,69501,1967,137035,1.44,147.96,144.87,2021-03-22,IC2104,多头占优
1444,71143,72273,1130,143416,0.79,147.65,145.95,2021-03-23,IC2104,多头占优
1445,70192,70106,-86,140298,-0.06,147.63,146.69,2021-03-24,IC2104,空头力量偏弱
1446,74116,73742,-374,147858,-0.25,148.37,149.09,2021-03-25,IC2104,空头力量偏弱
1447,68414,69224,810,137638,0.59,147.69,146.87,2021-03-26,IC2104,多头占优
1448,67643,68280,637,135923,0.47,149.68,147.7,2021-03-29,IC2104,多头占优
1449,67577,67784,207,135361,0.15,147.76,146.9,2021-03-30,IC2104,多头占优
1450,66137,67044,907,133181,0.68,149.11,148.02,2021-03-31,IC2104,多头占优
1451,63552,65825,2273,129377,1.76,147.73,145.95,2021-04-01,IC2104,多头占优
1452,61965,64190,2225,126155,1.76,148.62,146.73,2021-04-02,IC2104,多头占优
1453,61148,63537,2389,124685,1.92,148.58,145.96,2021-04-06,IC2104,多头占优
1454,60846,63379,2533,124225,2.04,149.62,145.84,2021-04-07,IC2104,多头占优
1455,59900,61305,1405,121205,1.16,150.1,144.59,2021-04-08,IC2104,多头占优
1456,58227,57549,-678,115776,-0.59,151.26,145.15,2021-04-09,IC2104,空头力量偏弱
1457,56478,55541,-937,112019,-0.84,148.78,145.33,2021-04-12,IC2104,空头力量偏弱
1458,47950,45767,-2183,93717,-2.33,148.37,146.02,2021-04-13,IC2104,空头力量偏弱
1459,38100,35492,-2608,73592,-3.54,146.99,143.37,2021-04-14,IC2104,空头力量偏弱
1460,46557,48740,2183,95297,2.29,151.01,150.73,2021-04-15,IC2105,多头占优
1461,58663,60733,2070,119396,1.73,150.12,149.27,2021-04-16,IC2105,多头占优
1462,54317,57652,3335,111969,2.98,151.16,147.47,2021-04-19,IC2105,多头占优
1463,52865,55905,3040,108770,2.79,152.16,147.7,2021-04-20,IC2105,多头占优
1464,51684,54369,2685,106053,2.53,150.57,146.8,2021-04-21,IC2105,多头占优
1465,51623,53697,2074,105320,1.97,151.35,146.56,2021-04-22,IC2105,多头占优
1466,51166,53559,2393,104725,2.29,150.83,145.72,2021-04-23,IC2105,多头占优
1467,56052,57624,1572,113676,1.38,151.9,145.0,2021-04-26,IC2105,多头占优
1468,53154,54153,999,107307,0.93,151.88,144.69,2021-04-27,IC2105,多头占优
1469,52684,54703,2019,107387,1.88,151.51,142.31,2021-04-28,IC2105,多头占优
1470,48735,50739,2004,99474,2.01,154.11,143.03,2021-04-29,IC2105,多头占优
1471,53513,56169,2656,109682,2.42,152.65,143.45,2021-04-30,IC2105,多头占优
1472,50908,53205,2297,104113,2.21,150.09,143.4,2021-05-06,IC2105,多头占优
1473,52424,54914,2490,107338,2.32,150.55,144.83,2021-05-07,IC2105,多头占优
1474,49348,52523,3175,101871,3.12,149.31,144.65,2021-05-10,IC2105,多头占优
1475,53138,54502,1364,107640,1.27,148.64,145.55,2021-05-11,IC2105,多头占优
1476,46980,48476,1496,95456,1.57,148.2,142.03,2021-05-12,IC2105,多头占优
1477,47199,47313,114,94512,0.12,148.74,143.43,2021-05-13,IC2105,多头占优
1478,43483,44822,1339,88305,1.52,149.32,144.82,2021-05-14,IC2105,多头占优
1479,43018,43293,275,86311,0.32,149.5,142.74,2021-05-17,IC2105,多头占优
1480,36394,36980,586,73374,0.8,149.65,143.85,2021-05-18,IC2105,多头占优
1481,27179,27543,364,54722,0.67,148.03,143.09,2021-05-19,IC2105,多头占优
1482,75428,92695,17267,168123,10.27,149.48,146.43,2021-05-20,IC2106,多头占优
1483,82469,98249,15780,180718,8.73,148.92,147.21,2021-05-21,IC2106,多头占优
1484,82888,98669,15781,181557,8.69,148.3,146.67,2021-05-24,IC2106,多头占优
1485,77147,94806,17659,171953,10.27,148.61,144.0,2021-05-25,IC2106,多头占优
1486,74849,90543,15694,165392,9.49,147.94,143.01,2021-05-26,IC2106,多头占优
1487,73031,89069,16038,162100,9.89,147.97,142.64,2021-05-27,IC2106,多头占优
1488,70707,85500,14793,156207,9.47,147.82,142.4,2021-05-28,IC2106,多头占优
1489,67780,82977,15197,150757,10.08,147.78,140.11,2021-05-31,IC2106,多头占优
1490,71468,87087,15619,158555,9.85,147.54,139.53,2021-06-01,IC2106,多头占优
1491,67287,80704,13417,147991,9.07,147.24,138.94,2021-06-02,IC2106,多头占优
